<start> <duration> <pitch> <velocity> <instrument>
0 163 40 110 2337
0 163 57 110 2337
0 163 57 110 284
0 444 33 110 545
166 163 64 110 284
166 163 36 110 2337
333 163 62 110 284
333 163 36 110 2337
333 163 59 110 2337
499 445 33 110 545
499 164 40 110 2337
499 164 64 110 284
666 163 36 110 2337
666 163 67 110 284
666 163 59 110 2337
833 163 64 110 284
833 163 36 110 2337
999 164 40 110 2337
999 278 33 110 545
999 164 59 110 2337
999 164 62 110 284
1166 163 64 110 284
1166 163 36 110 2337
1333 163 40 110 2337
1333 444 33 110 545
1333 163 59 110 2337
1333 163 57 110 284
1499 164 64 110 284
1499 164 36 110 2337
1666 163 62 110 284
1666 163 36 110 2337
1666 163 59 110 2337
1833 444 33 110 545
1833 163 40 110 2337
1833 163 64 110 284
1999 164 36 110 2337
1999 164 67 110 284
1999 164 59 110 2337
2166 163 64 110 284
2166 163 36 110 2337
2333 163 40 110 2337
2333 278 33 110 545
2333 163 59 110 2337
2333 163 62 110 284
2499 164 64 110 284
2499 164 36 110 2337
2666 163 40 110 2337
2666 445 36 110 545
2666 163 59 110 2337
2666 163 60 110 284
2833 163 64 110 284
2833 163 36 110 2337
2999 164 62 110 284
2999 164 36 110 2337
2999 164 59 110 2337
3166 445 36 110 545
3166 163 40 110 2337
3166 163 64 110 284
3333 163 36 110 2337
3333 163 67 110 284
3333 163 59 110 2337
3499 164 64 110 284
3499 164 36 110 2337
3666 163 40 110 2337
3666 278 36 110 545
3666 163 59 110 2337
3666 163 62 110 284
3833 163 64 110 284
3833 163 36 110 2337
3999 164 40 110 2337
3999 445 28 110 545
3999 164 59 110 2337
3999 164 59 110 284
4166 163 64 110 284
4166 163 36 110 2337
4333 163 62 110 284
4333 163 36 110 2337
4333 163 59 110 2337
4499 445 28 110 545
4499 164 40 110 2337
4499 164 64 110 284
4666 163 36 110 2337
4666 163 67 110 284
4666 163 59 110 2337
4833 163 64 110 284
4833 163 36 110 2337
4999 164 40 110 2337
4999 278 28 110 545
4999 164 59 110 2337
4999 164 62 110 284
5166 163 64 110 284
5166 80 40 110 2337
5249 80 45 110 2337
5333 163 40 110 2337
5333 444 33 110 545
5333 163 57 110 2337
5333 163 57 110 284
5499 164 64 110 284
5499 164 36 110 2337
5666 163 62 110 284
5666 163 36 110 2337
5666 163 59 110 2337
5833 444 33 110 545
5833 163 40 110 2337
5833 163 64 110 284
5999 164 36 110 2337
5999 164 67 110 284
5999 164 59 110 2337
6166 163 64 110 284
6166 163 36 110 2337
6333 163 40 110 2337
6333 278 33 110 545
6333 163 59 110 2337
6333 163 62 110 284
6499 164 64 110 284
6499 164 36 110 2337
6666 163 40 110 2337
6666 445 33 110 545
6666 163 59 110 2337
6666 163 57 110 284
6833 163 64 110 284
6833 163 36 110 2337
6999 164 62 110 284
6999 164 36 110 2337
6999 164 59 110 2337
7166 445 33 110 545
7166 163 40 110 2337
7166 163 64 110 284
7333 163 36 110 2337
7333 163 67 110 284
7333 163 59 110 2337
7499 164 64 110 284
7499 164 36 110 2337
7666 163 40 110 2337
7666 278 33 110 545
7666 163 59 110 2337
7666 163 62 110 284
7833 163 64 110 284
7833 163 36 110 2337
7999 164 40 110 2337
7999 445 36 110 545
7999 164 59 110 2337
7999 164 60 110 284
8166 163 64 110 284
8166 163 36 110 2337
8333 163 62 110 284
8333 163 36 110 2337
8333 163 59 110 2337
8499 445 36 110 545
8499 164 40 110 2337
8499 164 64 110 284
8666 163 36 110 2337
8666 163 67 110 284
8666 163 59 110 2337
8833 163 64 110 284
8833 163 36 110 2337
8999 164 40 110 2337
8999 278 36 110 545
8999 164 59 110 2337
8999 164 62 110 284
9166 163 64 110 284
9166 163 36 110 2337
9333 163 40 110 2337
9333 444 28 110 545
9333 163 59 110 2337
9333 163 59 110 284
9499 164 64 110 284
9499 164 36 110 2337
9666 163 62 110 284
9666 163 36 110 2337
9666 163 59 110 2337
9833 444 28 110 545
9833 163 40 110 2337
9833 163 64 110 284
9999 164 36 110 2337
9999 164 67 110 284
9999 164 59 110 2337
10166 163 64 110 284
10166 163 36 110 2337
10333 163 40 110 2337
10333 278 28 110 545
10333 163 59 110 2337
10333 163 62 110 284
10499 164 64 110 284
10499 80 40 110 2337
10583 80 45 110 2337
10666 163 40 110 2337
10666 2497 72 110 29
10666 163 57 110 2337
10666 445 33 110 545
10666 163 57 110 284
10833 163 64 110 284
10833 163 36 110 2337
10999 164 62 110 284
10999 164 36 110 2337
10999 164 59 110 2337
11166 445 33 110 545
11166 163 40 110 2337
11166 163 64 110 284
11333 163 36 110 2337
11333 163 67 110 284
11333 163 59 110 2337
11499 164 64 110 284
11499 164 36 110 2337
11666 163 40 110 2337
11666 278 33 110 545
11666 163 59 110 2337
11666 163 62 110 284
11833 163 64 110 284
11833 163 36 110 2337
11999 164 40 110 2337
11999 445 33 110 545
11999 164 59 110 2337
11999 164 57 110 284
12166 163 64 110 284
12166 163 36 110 2337
12333 163 62 110 284
12333 163 36 110 2337
12333 163 59 110 2337
12499 445 33 110 545
12499 164 40 110 2337
12499 164 64 110 284
12666 163 36 110 2337
12666 163 67 110 284
12666 163 59 110 2337
12833 163 64 110 284
12833 163 36 110 2337
12999 164 40 110 2337
12999 278 33 110 545
12999 164 59 110 2337
12999 164 62 110 284
13166 163 36 110 2337
13166 80 69 110 29
13166 163 64 110 284
13249 80 71 110 29
13333 163 40 110 2337
13333 1250 72 110 29
13333 163 59 110 2337
13333 444 36 110 545
13333 163 60 110 284
13499 164 64 110 284
13499 164 36 110 2337
13666 163 62 110 284
13666 163 36 110 2337
13666 163 59 110 2337
13833 444 36 110 545
13833 163 40 110 2337
13833 163 64 110 284
13999 164 36 110 2337
13999 164 67 110 284
13999 164 59 110 2337
14166 163 64 110 284
14166 163 36 110 2337
14333 163 40 110 2337
14333 278 36 110 545
14333 163 59 110 2337
14333 163 62 110 284
14499 164 64 110 284
14499 164 36 110 2337
14666 163 40 110 2337
14666 583 71 110 29
14666 163 59 110 2337
14666 445 28 110 545
14666 163 59 110 284
14833 163 64 110 284
14833 163 36 110 2337
14999 164 62 110 284
14999 164 36 110 2337
14999 164 59 110 2337
15166 445 28 110 545
15166 163 40 110 2337
15166 163 64 110 284
15333 163 36 110 2337
15333 278 67 110 29
15333 163 59 110 2337
15333 163 67 110 284
15499 164 64 110 284
15499 164 36 110 2337
15666 163 40 110 2337
15666 163 64 110 29
15666 163 59 110 2337
15666 278 28 110 545
15666 163 62 110 284
15833 80 40 110 2337
15833 163 67 110 29
15833 163 64 110 284
15916 80 40 110 2337
15999 164 40 110 2337
15999 2584 69 110 29
15999 164 57 110 2337
15999 445 33 110 545
15999 164 57 110 284
16166 163 64 110 284
16166 163 36 110 2337
16333 163 62 110 284
16333 163 36 110 2337
16333 163 59 110 2337
16499 445 33 110 545
16499 164 40 110 2337
16499 164 64 110 284
16666 163 36 110 2337
16666 163 67 110 284
16666 163 59 110 2337
16833 163 64 110 284
16833 163 36 110 2337
16999 164 40 110 2337
16999 278 33 110 545
16999 164 59 110 2337
16999 164 62 110 284
17166 163 64 110 284
17166 163 36 110 2337
17333 163 40 110 2337
17333 444 33 110 545
17333 163 59 110 2337
17333 163 57 110 284
17499 164 64 110 284
17499 164 36 110 2337
17666 163 62 110 284
